Id,Codigo,Descricao,Ativo,Unid,Custo,Preco,Estoque
fcc64e09-1c9e-4f99-8fbb-bce0a2f023cc,7893946366216,ABAFADOR RUÍDO TIPO CONCHA 10DB ARV100 VONDER,1,UN,"13,62","24,516",2
6cb0db83-4b60-4245-a34a-09d68491c60f,7898554010018,ABAFADOR RUÍDO TIPO CONCHA 10DB COMBAT DELTA PLUS,1,UN,"8,79","15,822",0
ff4a7d4c-0190-41d3-afe7-80097ab3739b,7893946366230,ABAFADOR RUÍDO TIPO CONCHA 19DB ARV300 VONDER,1,UN,"43,8","78,84",1
5a01c9fe-2ea2-4389-baed-d36405f496fe,7898094330119,ABAFADOR RUÍDO TIPO CONCHA BRASFORT 8011 CA33055,1,UN,"11,754","21,1572",0
6a9b3c1f-9460-4c0b-b9e2-19f044437071,7898628173113,"ABRAÇADEIRA CLICK P/CONDULETE BRANCO 3/4"" INPOL",1,UN,"0,69","1,242",0
ae15cab8-697f-479e-a37a-d9811b1f7776,7898628171836,"ABRAÇADEIRA CLICK P/CONDULETE CINZA 1/2"" INPOL",1,UN,"0,701","1,7525",15
5f8c1ae0-7e0c-4cae-937c-71d2174be80f,7898628171843,"ABRAÇADEIRA CLICK P/CONDULETE CINZA 3/4"" INPOL",1,UN,"0,721","1,5862",1
01ab0fe6-3ac8-4131-b359-54a10393050d,7898922915464,"ABRAÇADEIRA GALV P/CANO TIPO U 111MM 4""",1,UN,"2,2832","6,8496",29
00b507cd-4156-4391-b654-3d98257ed7d6,7898492970382,ABRAÇADEIRA GALV P/LÂMPADA TUBULAR FLUOR T10,1,UN,"1,28","2,6",4
1c480693-1dd4-4276-900d-61e6f17462f1,7898492970474,ABRAÇADEIRA GALV P/LÂMPADA TUBULAR LED T8,1,UN,"0,67",2,5
b4311b86-0aa8-4ca9-b2d6-45fa7ab417ff,7899617012543,ABRAÇADEIRA GALV P/MANG 12X16MM,1,UN,"1,165","3,495",10
